prompt_id,raw_prompt,subject_type,environment,lighting_style,camera_type,focal_length,film_stock,mood,tags,source,quality_score
1,"A creative, high-contrast studio portrait capturing a female figure in an intimate close-up with a mysterious and introspective atmosphere. The subject is posed with her head tilted slightly downward, her gaze directed toward the ground, just outside the frame, conveying a sense of deep contemplation.

The most striking feature of the image is the dramatic lighting with dual-colored gels. One side of the face and body is bathed in vibrant cyan or teal light, while the opposite side is illuminated by contrasting red or magenta light. This creates a sharp color division in the center of the figure, sculpting the facial features with colorful highlights and deep shadows.

She wears a simple black top with a low neckline, which allows the colored light to play across the skin of her décolleté and shoulders. Her makeup is defined, with eyeliner accentuating her eyes and lips with a subtle, light-catching gloss.

The hair is long, straight, and dark, falling softly over the shoulders and framing the face, the strands capturing the reflections of the colored lights.

The background is completely black and uniform, ensuring that all the focus remains on the subject and the vibrant play of light.

Camera Settings: Captured with a prime portrait lens (e.g., 85mm or 100mm) on a full-frame camera for a sharp, distortion-free close-up. Aperture set between f/2.8 and f/4.0 to keep the face in sharp focus with a shallow depth of field. ISO 100-200 for maximum image quality, free of noise. Shutter speed from 1/160s to 1/250s. Lighting is key: two studio light sources (strobes or continuous lights) with colored gels (cyan and red) positioned on opposite sides of the subject to create a split-light effect, without using fill light to maximize contrast.

Instructions for the ""nano banana"":

""Please use the user's reference image to capture and apply all of their facial features, facial structure, eye color, skin tone, and hair style, color, and texture with maximum fidelity. The goal is to create a version of the user in this artistic portrait. The pose (head tilted down), the dramatic dual-gel lighting (cyan and red), the black top, and the dark background should be created as described, creating a seamless fusion between the user's identity and the modern, colorful aesthetic of the image.""",person,studio,dramatic,dslr,85mm,portra_400,dramatic,"female,portrait,studio",collected,8.7
2,"A girl sitting in a wicker chair on a balcony with a glass partition. She is wearing a light blue mini dress with thin straps, one strap falling off her shoulder. With one hand she adjusts her hair. Light smile. She has long, smooth, slightly Tousled hair. Perfect makeup, plump powdery lips. The background is an expressive and rich sunset with bright orange and red hues. Shot with flash. Light grain. The overall atmosphere is cozy and relaxed. Key words: woman, balcony, armchair, sunset, long hair, warm lighting, red-orange sky, relaxed pose.",person,outdoor,golden_hour,dslr,50mm,portra_400,bright,"female,summer,vintage",collected,7.5
3,"Young girl with long hair sitting on her knees in a warm turquoise pool against a background of thick tropical thickets. A white flower is fixed in her hair, adding naturalness and tenderness to the image. She is wearing a white swimsuit with a thin one-shoulder strap. The background consists of dense greenery: tall tropical trees, vines, wet thickets, creating a sense of deep nature. The water in the pool is calm, reflecting the greenery. Soft, natural, diffused lighting. Photo taken on iPhone 17 Pro Max, with flash, light tanned skin.",person,outdoor,soft,smartphone,50mm,portra_400,serene,"female,nature,swimwear,water",collected,7.5
4,"The medium shot, the camera is located at water level. This angle allows you to capture a girl in the pool and a panoramic window with snow-capped mountains visible behind it. The girl stands in the water, leaning her hands on the edge. Her head is tilted to the side, her eyes are closed. The face is slightly blurred in motion. The action takes place in a modern spa area with a jacuzzi. Behind her is a large panoramic window through which high mountains, lightly snow-capped, can be seen. The water in the jacuzzi is bubbling, creating a light foam and movement, which adds dynamics to the snapshot. The model is wearing a white separate swimsuit with an open belly and straps around the neck. The hairstyle is a very high long ponytail, strands framing the face. The main light falls from the window. There are no sharp shadows. It's cloudy outside. The mountains are clearly visible. 3:4",person,indoor,soft,dslr,24mm,portra_400,cinematic,"female,landscape,swimwear,water,winter",collected,7.5
5,"ultra-detailed street-style fashion portrait in Paris with the Arc de Triomphe monument dominating the background. Environment: iconic Parisian square with cobblestone ground and the large stone arch monument rising behind the subject. Outfit: long black tailored coat layered over dark shirt and loose blue trousers. Accessories: oversized patterned wool scarf wrapped around the neck. Prop: two fresh baguettes wrapped in brown paper held under one arm. Pose: the man stands slightly turned with one arm resting on a metal railing while looking to the side in surprise as if noticing something off-camera. Camera angle: mid-length street fashion portrait capturing both subject and landmark architecture. Lighting: bright natural daylight with crisp shadows typical of outdoor editorial photography in Paris. ultra-detailed, cinematic street fashion photography, 8K quality.",person,outdoor,natural,dslr,50mm,portra_400,moody,"cinematic,fashion,male,portrait,travel,urban",collected,8.3
6,"cinematic street photography portrait of a man standing alone in the middle of a busy city street while blurred pedestrians walk around him. Environment: worn asphalt road with yellow painted street markings and urban texture, people walking in multiple directions creating motion blur around the subject. Outfit: long dark brown wool overcoat with structured shoulders worn open over a black knit sweater, loose dark tailored trousers, polished black leather loafers. Accessories: thin dark rectangular glasses. Hairstyle: short slightly messy dark hair with light stubble beard. Pose: the man stands still with one hand inside the coat pocket and the other arm relaxed at his side, head turned slightly to the left observing the passing crowd. Camera angle: elevated angle shot from above street level looking downward, capturing the subject centered while pedestrians move around him. Lighting: soft cinematic daylight with muted tones and slight shadow contrast emphasizing the solitary mood. Motion: surrounding people blurred with slow shutter effect while the subject remains sharp. Cinematic urban photography, editorial storytelling composition, ultra-detailed, 8K quality.",person,outdoor,natural,dslr,50mm,portra_400,moody,"cinematic,fashion,male,portrait,urban",collected,8.8
7,"A woman lies in a soft, high-backed chair, her body relaxed and stretched along the seat. Her back is supported by the back of the chair, her head slightly tilted back. One hand rests on her stomach, the other is raised and touching her ear, her fingers lightly brushing an earring. The pose is calm and relaxed. The frame covers the figure from mid-thigh to head, shot from a slightly high angle and from the side, the composition is shifted to the left, and most of the frame is taken up by the brightly coloured chair.

Her skin has an even, matte tone. A warm, beige-gold eyeshadow with a soft blend is applied to the eyelids. A thin black eyeliner runs along the lash line. The lashes are long and separated. The lips are coated with a warm, nude-pink lipstick with a satin finish.

Her hair is styled in soft, loose waves and neatly spread over the back of the chair.

The woman is wearing a long, deep, jet-black dress made of smooth satin with soft folds. The sleeves are decorated with black feathers. She wears large silver earrings with a shiny surface.

The scene takes place in a warmly lit interior. The woman is reclining in a rich mustard-yellow chair with thick fabric upholstery and soft, rounded armrests. The floor is made of warm, light-brown wood. The background is neutral and softly lit, without any pronounced details.

The lighting is warm and directional. The main light source is positioned to the side of the camera and slightly above, creating a bright strip of sunlight on her face, hands, and the fabric of her dress. The shadows are deep and contrasting, with part of the chair and dress immersed in shadow. The light highlights the sheen of the satin fabric and the texture of the chair's fabric upholstery.

Shot with an 85mm portrait lens, using a shallow depth of field with sharp focus on the face and upper body. The background is softly blurred. The textures of the fabric, wood, and feathers are captured in detail. Interior fashion photography, highly detailed, photorealistic.

COLOR GRADING

warm cinematic interior mood,
dominant mustard yellow and deep black tones,
warm golden sunlight highlights,
moderate saturation with warm color emphasis,
high contrast directional lighting,
deep shadow areas with strong highlight streaks,
subtle film-like softness,
clean editorial fashion color grading.",person,indoor,dramatic,dslr,85mm,portra_400,nostalgic,"cinematic,fashion,female,portrait",collected,8.5
8,"A man sits on wooden steps, his body slightly leaning back, his elbows resting relaxed on the treads. He looks directly at the camera with a calm, serious gaze. His pose is confident and static, creating the atmosphere of a fashion editorial shoot. The frame covers the figure from mid-thigh to head, the angle is at eye level, the composition is centered, and the man is positioned in the center of the frame, with the steps receding into the distance behind him.

His hair is neatly combed back, creating a sleek and structured silhouette.

The man is wearing an oversized silk shirt in a warm sandy beige with long sleeves. Around his neck is a narrow tie in a rich golden-bronze color with a soft silk sheen. He wears dark brown high-waist trousers with a belt. The fabric of the clothing is thick and fits neatly.

The scene takes place on wooden steps or a terrace made of warm brown wood. The surface of the planks has a distinct texture and horizontal lines, creating a geometric backdrop behind the model. The lighting is natural and directional. The sunlight falls from the side and slightly above, creating bright highlights on the face, shirt, and steps. The shadows are deep and contrasting, emphasizing the shape of the face and the folds of the clothing.

Shot with an 85mm portrait lens, shallow depth of field, sharp focus on the face and upper body, and a softly blurred background. The textures of the shirt fabric, wood, and silk tie are captured in detail. A fashion editorial shoot in the style of a magazine cover, highly detailed, and photorealistic.

COLOR GRADING

Editorial fashion magazine mood,
warm bronze and beige tones,
rich brown wood accents,
goldden sunlight highlights,
moderate contrast lighting,
slightly desaturated natural palette,
deep cinematic shadows,
luxury editorial color grading.",person,studio,natural,dslr,85mm,portra_400,moody,"cinematic,fashion,landscape,male,portrait,studio",collected,8.5
9,"Create a cinematic image of a woman sitting on the floor in stylish black leather high boots and a leather jacket, with damp hair. She has her hand on her chin, positioned in a space next to a retro car (yellow Dodge Charger). The background is an underground parking lot with subdued light, artificial lighting. Use a soft grain, like a high ISO film, to give the image a vintage look. The light on the model should be warm and soft, with small highlights on the skin and clothing, creating an atmosphere of intimacy and style. Skin tones are natural, with a warm undertone. Shadows from the car and from her body are slightly blurred, creating an atmosphere of dynamism. Attention to detail on the leather boots and jacket, as well as on the metal details of the car. Do not change facial features",person,indoor,cinematic,dslr,50mm,portra_400,nostalgic,"cinematic,female,vintage",collected,8.3
10,"ultra-detailed cinematic street portrait of a stylish woman standing outside a cozy café window on a European city street. Outfit: oversized textured shearling fur coat with a voluminous wool collar, long brown leather gloves reaching above the elbows, a soft fur hat, and a small black leather handbag. Pose: the woman stands near the café window with her arms crossed softly against her chest, her hair slightly blown by the wind while she looks away thoughtfully. Environment: elegant European street with historic buildings reflected in the café glass, warm indoor café lights glowing behind the window, cold winter atmosphere outside. Camera angle: slightly close mid-portrait capturing luxurious textures of fur and leather. , soft sculpted face, rosy cheeks, glossy lips, clean defined brows. Neutral warm lighting with slight smartphone front camera flash, balanced shadows. Reference to image. Added fine film grain, realistic skin pores, subtle glow. Pinterest clean-girl meets luxury desert vibe, lifestyle editorial photography, ultra-detailed, 8K quality",person,indoor,golden_hour,smartphone,50mm,portra_400,nostalgic,"cinematic,fashion,female,portrait,summer,urban",collected,8.8
